operation,locality,home_region,run,latency_ms
write,remote,tienda-b,20,1.412
write,remote,tienda-b,21,1.388
write,remote,tienda-b,22,1.447
write,remote,tienda-b,23,1.377
write,remote,tienda-b,24,1.372
write,remote,tienda-b,25,3.842
write,remote,tienda-b,26,2.000
write,remote,tienda-b,27,1.354
write,remote,tienda-b,28,1.449
write,remote,tienda-b,29,1.321
write,remote,tienda-b,30,1.300
write,remote,tienda-b,31,1.470
write,remote,tienda-b,32,1.440
write,remote,tienda-b,33,1.331
write,remote,tienda-b,34,1.247
write,remote,tienda-b,35,1.202
write,remote,tienda-b,36,1.191
write,remote,tienda-b,37,1.163
write,remote,tienda-b,38,1.170
write,remote,tienda-b,39,1.188
write,remote,tienda-b,40,1.225
write,remote,tienda-b,41,1.159
write,remote,tienda-b,42,1.210
write,remote,tienda-b,43,1.191
write,remote,tienda-b,44,1.190
write,remote,tienda-b,45,1.301
write,remote,tienda-b,46,1.269
write,remote,tienda-b,47,1.133
write,remote,tienda-b,48,1.074
write,remote,tienda-b,49,1.034
write,remote,tienda-b,50,1.002
