operation,locality,home_region,run,latency_ms
write,remote,tienda-b,20,14.188
write,remote,tienda-b,21,13.897
write,remote,tienda-b,22,12.937
write,remote,tienda-b,23,13.985
write,remote,tienda-b,24,13.850
write,remote,tienda-b,25,13.389
write,remote,tienda-b,26,13.387
write,remote,tienda-b,27,14.307
write,remote,tienda-b,28,16.090
write,remote,tienda-b,29,13.736
write,remote,tienda-b,30,13.724
write,remote,tienda-b,31,16.187
write,remote,tienda-b,32,14.044
write,remote,tienda-b,33,12.556
write,remote,tienda-b,34,12.285
write,remote,tienda-b,35,12.809
write,remote,tienda-b,36,13.361
write,remote,tienda-b,37,14.005
write,remote,tienda-b,38,13.834
write,remote,tienda-b,39,14.880
write,remote,tienda-b,40,14.187
write,remote,tienda-b,41,15.832
write,remote,tienda-b,42,14.846
write,remote,tienda-b,43,14.383
write,remote,tienda-b,44,15.085
write,remote,tienda-b,45,15.675
write,remote,tienda-b,46,16.076
write,remote,tienda-b,47,14.969
write,remote,tienda-b,48,15.456
write,remote,tienda-b,49,14.991
write,remote,tienda-b,50,15.354
